date,amount_raw,amount,currency,operation,merchant,details,bank,source_file
2024-11-19,"+ 470,00 KZT",470.0,KZT,Replenishment,,Зинаэнур И.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"+ 1 500,00 KZT",1500.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"+ 100,00 KZT",100.0,KZT,Replenishment,,Мерей Н.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"- 555,00 KZT",-555.0,KZT,Purchases,ИП Берсиновв,ИП Берсиновв,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"+ 555,00 KZT",555.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"- 1 500,00 KZT",-1500.0,KZT,Purchases,The Barbara,The Barbara,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"+ 1 000,00 KZT",1000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"- 4 000,00 KZT",-4000.0,KZT,Transfers,,На Kaspi Депозит,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"+ 4 000,00 KZT",4000.0,KZT,Replenishment,,Нұрайым И.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"- 5 000,00 KZT",-5000.0,KZT,Transfers,,На Kaspi Депозит,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"+ 4 980,00 KZT",4980.0,KZT,Replenishment,,Алина С.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"+ 500,00 KZT",500.0,KZT,Replenishment,,Теміршін К.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"- 700,00 KZT",-700.0,KZT,Transfers,,На Kaspi Депозит,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"+ 500,00 KZT",500.0,KZT,Replenishment,,Диляра Р.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"- 14 640,00 KZT",-14640.0,KZT,Purchases,MASTER COFFEE MEGA,MASTER COFFEE MEGA,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"+ 14 640,00 KZT",14640.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"- 150,00 KZT",-150.0,KZT,Purchases,Аппарат самообслуживания,Аппарат самообслуживания,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"- 505,00 KZT",-505.0,KZT,Transfers,,На Kaspi Депозит,Kaspi Bank,kaspi_ru_2.pdf
2024-11-19,"+ 500,00 KZT",500.0,KZT,Replenishment,,Рафаэль Н.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-20,"- 610,00 KZT",-610.0,KZT,Transfers,,Дамелия Д.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-20,"+ 607,00 KZT",607.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-22,"- 150,00 KZT",-150.0,KZT,Purchases,Аппарат самообслуживания,Аппарат самообслуживания,Kaspi Bank,kaspi_ru_2.pdf
2024-11-22,"- 345,00 KZT",-345.0,KZT,Purchases,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,kaspi_ru_2.pdf
2024-11-22,"+ 345,00 KZT",345.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-22,"- 385,00 KZT",-385.0,KZT,Transfers,,Əлия Б.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-22,"+ 500,00 KZT",500.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-23,"- 3 000,00 KZT",-3000.0,KZT,Transfers,,Мансур Д.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-23,"+ 3 000,00 KZT",3000.0,KZT,Replenishment,,С карты другого банка,Kaspi Bank,kaspi_ru_2.pdf
2024-11-24,"- 1 000,00 KZT",-1000.0,KZT,Transfers,,Темірлан Қ.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-24,"+ 2 500,00 KZT",2500.0,KZT,Replenishment,,Айым Ш.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-24,"- 1 500,00 KZT",-1500.0,KZT,Transfers,,Абзал И.,Kaspi Bank,kaspi_ru_2.pdf
